,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Weight,Height
408,Moon Shadow,,"Minneapolis, Minnesota (United States of America)",28th March 1979 (age 42),2002,Goldy Locks,,,
1495,Naoya Ogawa,254 lbs. (115 kg) at 6'3'' (1.91 m),"Tokyo, Tokyo (Japan)",31st March 1968 (age 53),12th April 1997 (24 years ago),Naoya Ogawa,,,
1658,Camille Tourville,285 lbs. (129 kg) at 6'3'' (1.91 m),"Montréal, Quebec (Canada)",4th December 1927,,Tarzan Tyler,24th December 1985,,
2082,unknown,,"Columbus, Georgia (United States of America)",4th September 1945 (age 76),1970,Jerry Oates,,,
4417,unknown,192 lbs. (87 kg) at 5'11'' (1.80 m),"New York City, New York (United States of America)",26th May ???,??th May 2000,CJ O'Doyle,,,
7781,Clarence Byron Dollaway,185 lbs. (84 kg) at 6'2'' (1.88 m),"Mount Gilead, Ohio (United States of America)",10th August 1983 (age 38),10th November 2006 (15 years ago),CB Dollaway,,,
7968,unknown,231 lbs. (105 kg) at 6'0'' (1.83 m),"New York City, New York (United States of America)",,,Dimitrios Papadon,,,
8056,Paul Anthony Buentello,250 lbs. (113 kg) at 6'2'' (1.88 m),"Amarillo, Texas (United States of America)",16th January 1974 (age 48),12th April 1997 (24 years ago),Paul Buentello,,,
8076,Phil Baroni,185 lbs. (84 kg) at 5'9'' (1.75 m),"New York City, New York (United States of America)",16th April 1976 (age 45),5th August 2000 (21 years ago),Phil Baroni,,,
8124,unknown,183 lbs. (83 kg) at 5'6'' (1.68 m),"Philadelphia, Pennsylvania (United States of America)",27th April 1981 (age 40),,Drew Blood,,,
16312,David Finley Crockett,,"Charlotte, North Carolina (United States of America)",,,David Crockett,,,
16780,William Alan Shatner,,"Montréal, Quebec (Canada)",22nd March 1931 (age 90),,William Shatner,,,
871,Ray Rawls,234 lbs. (106 kg) at 6'0'' (1.83 m),"Atlanta, Georgia (United States of America)",8th September 1974 (age 47),10th November 1991 (30 years ago),Rick Michaels,,,
925,Danny Gimondo,237 lbs. (108 kg) at 6'3'' (1.91 m),"Albany, New York (United States of America)",8th January 1977 (age 45),1992,Danny Gimondo,,,
1053,Maurice Marie Joseph Tillet,280 lbs. (127 kg) at 5'8'' (1.73 m),Russia,23rd October 1903,1938,Maurice Tillet,4th September 1954,,
2688,Justin Carnes,235 lbs. (107 kg) at 6'1'' (1.85 m),"Greenwich, Connecticut (United States of America)",5th February 1977 (age 45),??th May 2000,Conrad Kennedy III.,,,
4644,Andrea Redaelli,212 lbs. (96 kg) at 6'0'' (1.83 m),"Monza, Lombardia (Italy)",28th June 1986 (age 35),26th February 2005 (17 years ago),Andres Diamond,,,
7785,Janigleison Herculano Alves,155 lbs. (70 kg) at 5'10'' (1.78 m),"Mossoró, Rio Grande do Norte (Brazil)",10th July 1983 (age 38),28th November 2002 (19 years ago),Gleison Tibau,,,
10183,Reina Takase,132 lbs. (60 kg) at 5'3'' (1.60 m),"Namekawa, Toyama (Japan)",2nd July 1980 (age 41),12th February 2000 (22 years ago),Leon ,,,
13287,Josh Richard Grispi,145 lbs. (66 kg) at 5'11'' (1.80 m),"Plympton, Massachusetts (United States of America)",14th October 1988 (age 33),23rd September 2006 (15 years ago),Josh Grispi,,,
13395,Gerald Brown,230 lbs. (104 kg) at 6'1'' (1.85 m),Minnesota (United States of America),10th May 1937,,Jerry Brown,16th September 2020,,
13677,Justin Christopher Wren,250 lbs. (113 kg) at 6'3'' (1.91 m),"Fort Worth, Texas (United States of America)",27th April 1987 (age 34),2nd December 2006 (15 years ago),Justin Wren,,,
13687,Jonathan Michael Madsen,260 lbs. (118 kg) at 6'0'' (1.83 m),California (United States of America),12th February 1980 (age 42),16th August 2008 (13 years ago),Jon Madsen,,,
19094,unknown,,,,,Kodama,,,
19268,Antonio Cristian Salazar López,187 lbs. (85 kg) at 5'10'' (1.78 m),"Ciudad de México, Ciudad de México (Mexico)",17th February 1993 (age 29),2009,Magnus,,,
22571,unknown,194 lbs. (88 kg) at 5'10'' (1.78 m),"Allentown, Pennsylvania (United States of America)",,??th October 2007,Mark Angelosetti,,,
28411,Rich Bocchini,,"Houston, Texas (United States of America)",,,Rich Bocchini,,,
603,Rebecca Miller,130 lbs. (59 kg) at 5'9'' (1.75 m),"Jacksonville, Florida (United States of America)",24th November 1975 (age 46),,Seven Briggs ,,,
686,unknown,120 lbs. (54 kg) at 5'8'' (1.73 m),United States of America,3rd July 1984 (age 37),8th February 2000 (22 years ago),Deranged,,,
1200,Toru Ito,264 lbs. (120 kg) at 6'1'' (1.85 m),"Saku, Nagano (Japan)",24th December 1975 (age 46),2nd September 2000 (21 years ago),Toru Owashi,,,
1384,unknown,220 lbs. (100 kg) at 6'2'' (1.88 m),"Malibu, California (United States of America)",4th November 1973 (age 48),??th August 1997,Cody Hawk,,,
1566,Vito Thomas,185 lbs. (84 kg) at 5'9'' (1.75 m),"McHenry, Illinois (United States of America)",8th November 1980 (age 41),5th November 1999 (22 years ago),Vito Thomaselli,,,
2176,Kim Thae-sik,265 lbs. (120 kg) at 6'1'' (1.85 m),South Korea,24th February 1929,??th November 1959,Kintaro Oki,26th October 2006,,
3324,Deborah Szostecki,,"Nashville, Tennessee (United States of America)",30th October 1955 (age 66),,Debbie Combs ,,,
4785,unknown,181 lbs. (82 kg) at 5'8'' (1.73 m),"Nezahualcóyotl, Estado de México (Mexico)",2nd August 1991 (age 30),16th August 2007 (14 years ago),El Hombre Bala Jr.,,,
6130,James Ahmed,209 lbs. (95 kg) at 6'0'' (1.83 m),"South Shields, Tyne and Wear, England (United Kingdom)",24th July ???,2003,Screwface,,,
7573,Rousimar Christian Palhares,185 lbs. (84 kg) at 5'8'' (1.73 m),"Dores do Indaiá, Minas Gerais (Brazil)",20th February 1980 (age 42),29th April 2006 (15 years ago),Rousimar Palhares,,,
7789,Patrick Côté,170 lbs. (77 kg) at 5'11'' (1.80 m),"Rimouski, Quebec (Canada)",29th February 1980 (age 42),3rd November 2002 (19 years ago),Patrick Côté,,,
12323,unknown,,North Carolina (United States of America),1982,2005,Jake Manning,,,6'0'' (1.83 m)
13031,unknown,275 lbs. (125 kg) at 6'3'' (1.91 m),New York (United States of America),14th October 1976 (age 45),6th June 2006 (15 years ago),Franco D'Angelo,,,
13379,Luke Rockhold,185 lbs. (84 kg) at 6'3'' (1.91 m),"Santa Cruz, California (United States of America)",17th October 1984 (age 37),24th July 2007 (14 years ago),Luke Rockhold,,,
13906,Gerard Gordeau,216 lbs. (98 kg) at 6'5'' (1.96 m),"Den Haag, Zuid-Holland (Netherlands)",30th March 1959 (age 62),13th August 1988 (33 years ago),Gerard Gordeau,,,
15304,Jacob Joseph Volkmann,155 lbs. (70 kg) at 5'9'' (1.75 m),"Fergus Falls, Minnesota (United States of America)",5th September 1980 (age 41),29th September 2007 (14 years ago),Jacob Volkmann,,,
15768,Gerald Harris,185 lbs. (84 kg) at 5'11'' (1.80 m),"Tulsa, Oklahoma (United States of America)",19th November 1979 (age 42),11th August 2006 (15 years ago),Gerald Harris,,,
21893,unknown,120 lbs. (54 kg) at 5'4'' (1.63 m),"College Station, Texas (United States of America)",2nd October 1990 (age 31),10th December 2009 (12 years ago),Barbi Hayden ,,,
22622,Jon Anik,,"Boston, Massachusetts (United States of America)",3rd July 1978 (age 43),,Jon Anik,,,
22930,Issei Tamura,145 lbs. (66 kg) at 5'5'' (1.65 m),"Tokyo, Tokyo (Japan)",12th March 1984 (age 37),26th June 2008 (13 years ago),Issei Tamura,,,
23032,Shawn Jordan,250 lbs. (113 kg) at 6'0'' (1.83 m),"El Paso, Texas (United States of America)",21st October 1984 (age 37),29th May 2009 (12 years ago),Shawn Jordan,,,
23055,Yasmin Josephine Lander,157 lbs. (71 kg) at 5'6'' (1.68 m),"Cambridge, Cambridgeshire, England (United Kingdom)",19th April 1992 (age 29),??th May 2011,Charlie Morgan ,,,
25931,unknown,205 lbs. (93 kg) at 6'1'' (1.85 m),United States of America,,2005,El Hijo del Ice Cream,,,
538,Hirokazu Nagai,232 lbs. (105 kg) at 6'2'' (1.88 m),"Sunagawa, Hokkaido (Japan)",10th November 1968 (age 53),1st August 1991 (30 years ago),Mitsuya Nagai,,,
576,Aaron Quinn Schlosser,220 lbs. (100 kg) at 5'10'' (1.78 m),"Calgary, Alberta (Canada)",30th November 1972 (age 49),21st May 1999 (22 years ago),Ruffy Silverstein,,,
808,Mitsukazu M. Arakawa,243 lbs. (110 kg) at 5'7'' (1.70 m),"Honolulu, Hawaii (United States of America)",23rd May 1927,1953,Mitsu Arakawa,17th April 1997,,
1085,unknown,175 lbs. (79 kg) at 5'5'' (1.65 m),,29th November 1977 (age 44),8th November 1998 (23 years ago),Super Hentai,,,
1488,Rumi Miyuki,110 lbs. (50 kg) at 5'1'' (1.55 m),"Tenri, Nara (Japan)",14th June 1985 (age 36),14th January 2002 (20 years ago),Apple Miyuki ,,,
1557,unknown,156 lbs. (71 kg) at 5'6'' (1.68 m),United States of America,11th October 1986 (age 35),18th April 2004 (17 years ago),Jason Gory,,,
1792,María del Rocío Moreno León,152 lbs. (69 kg) at 5'5'' (1.65 m),"Ciudad de México, Ciudad de México (Mexico)",17th October 1965 (age 56),30th December 1978 (43 years ago),Rossy Moreno ,,,
2166,Masaki Okimoto,165 lbs. (75 kg) at 5'5'' (1.65 m),"Aomori, Aomori (Japan)",21st May 1982 (age 39),21st July 2002 (19 years ago),Rasse,,,
2477,unknown,220 lbs. (100 kg) at 6'1'' (1.85 m),"Spielberg bei Knittelfeld, Steiermark (Austria)",8th June 1979 (age 42),??th August 2003,Robert Ray,,,
2686,Robert Beier,285 lbs. (129 kg) at 5'10'' (1.78 m),"Goodsoil, Saskatchewan (Canada)",4th July 1940,1965,Bob Sweetan,10th February 2017,,
2920,Arturo Hernández Herrada,194 lbs. (88 kg) at 5'7'' (1.70 m),Mexico,3rd August 1967,2nd March 1985 (37 years ago),El Picudo,3rd August 2018,,
2996,Charles Taylor,240 lbs. (109 kg) at 6'1'' (1.85 m),"Houston, Texas (United States of America)",5th March ???,17th April 1988 (33 years ago),Chaz Taylor,,,
3100,Juan Miguel Escalante Grande,165 lbs. (75 kg) at 5'5'' (1.65 m),Mexico,10th August 1977 (age 44),1995,El Inquisidor,,,
4284,Enrique del Río,,Mexico,28th May 1966 (age 55),,Jerrito Estrada,,,
5704,Marco Antonio Sánchez Rodríguez,,Mexico,1979,19th January 2008 (14 years ago),El Hijo del Signo,,,
5886,unknown,196 lbs. (89 kg) at 5'10'' (1.78 m),"Tijuana, Baja California (Mexico)",,,La Sombra,,,
6361,Andrew Morgan,311 lbs. (141 kg) at 5'10'' (1.78 m),"New York City, New York (United States of America)",30th May 1964 (age 57),1995,Magic,,,
7266,unknown,183 lbs. (83 kg) at 5'11'' (1.80 m),"Rochester, New York (United States of America)",7th June 1983 (age 38),,Aaron Epic,,,
7376,unknown,,"Lorain, Ohio (United States of America)",,,Chris Cronus,,,
7556,Richard Thomas Clementi,155 lbs. (70 kg) at 5'9'' (1.75 m),"Edison, New Jersey (United States of America)",31st March 1976 (age 45),9th October 1999 (22 years ago),Rich Clementi,,,
8368,unknown,145 lbs. (66 kg) at 5'11'' (1.80 m),"Bradford, West Yorkshire, England (United Kingdom)",25th July 1984 (age 37),,Matt Slater,,,
8509,Jeremy Dean Stephens,145 lbs. (66 kg) at 5'9'' (1.75 m),"Des Moines, Iowa (United States of America)",26th May 1986 (age 35),12th January 2005 (17 years ago),Jeremy Stephens,,,
10557,George H. Roop,135 lbs. (61 kg) at 6'1'' (1.85 m),"Tucson, Arizona (United States of America)",10th November 1981 (age 40),26th May 2006 (15 years ago),George Roop,,,
11963,John J. Howard,170 lbs. (77 kg) at 5'7'' (1.70 m),"Boston, Massachusetts (United States of America)",1st March 1983 (age 39),2nd October 2004 (17 years ago),John Howard,,,
12569,unknown,160 lbs. (73 kg) at 5'7'' (1.70 m),"Iruma, Saitama (Japan)",6th February 1985 (age 37),6th July 2008 (13 years ago),Keisuke Ishii,,,
16466,unknown,203 lbs. (92 kg) at 5'9'' (1.75 m),"Los Angeles, California (United States of America)",18th July 1987 (age 34),2000,Mortiz,,,
16552,Kris Eric Johannes McCray,170 lbs. (77 kg) at 6'0'' (1.83 m),"Schweinfurt, Bayern (Germany)",24th September 1981 (age 40),11th October 2008 (13 years ago),Kris McCray,,,
17343,Chris Vincent Cariaso,125 lbs. (57 kg) at 5'3'' (1.60 m),"San José, California (United States of America)",27th May 1981 (age 40),13th May 2006 (15 years ago),Chris Cariaso,,,
21335,Brandon Espinosa,190 lbs. (86 kg) at 5'10'' (1.78 m),"St. Louis, Missouri (United States of America)",15th July 1987 (age 34),2004,Brandon Espinosa,,,
28149,unknown,,Texas (United States of America),2nd May 1994 (age 27),2010,Barrett Brown,,,
31515,unknown,121 lbs. (55 kg) at 5'5'' (1.65 m),"Berlin, Berlin (Germany)",10th July 1985 (age 36),3rd December 2016 (5 years ago),Kati Libra ,,,
400,Rafael Núñez Contreras,233 lbs. (106 kg) at 5'10'' (1.78 m),"Atotonilco El Alto, Jalisco (Mexico)",25th October 1942,3rd May 1968 (53 years ago),El Scorpio,25th June 2010,,
575,Yan O'Cain,322 lbs. (146 kg) at 6'2'' (1.88 m),"Los Angeles, California (United States of America)",4th June 1978 (age 43),6th June 1999 (22 years ago),Nova Cain,,,
1427,Allan Layton,260 lbs. (118 kg) at 6'5'' (1.96 m),"Surrey, England (United Kingdom)",1921,1948,Lord Athol Layton,18th January 1984,,
2040,Rumie Saito,132 lbs. (60 kg) at 5'0'' (1.52 m),"Tokyo, Tokyo (Japan)",28th November 1965,17th August 1986 (35 years ago),Rumi Kazama ,21st September 2021,,
2378,Dean Higuchi,,"Honolulu, Hawaii (United States of America)",30th December 1940,19th March 1962 (59 years ago),Dean Ho,20th February 2021,,
2943,Robert Bruce,,"Novi, Michigan (United States of America)",1970,,Evil Dead,,,6'2'' (1.88 m)
2961,Adam Filangeri,202 lbs. (92 kg) at 5'10'' (1.78 m),"Windsor, Ontario (Canada)",20th February 1985 (age 37),30th May 2004 (17 years ago),Phil Atlas,,,
3162,Rie Nakamura,136 lbs. (62 kg) at 5'4'' (1.63 m),"Osaka, Osaka (Japan)",1st February 1974 (age 48),22nd December 1990 (31 years ago),Bad Nurse Nakamura ,,,
3316,unknown,230 lbs. (104 kg) at 5'11'' (1.80 m),"Brooklyn, Ohio (United States of America)",19th June 1973 (age 48),25th November 1992 (29 years ago),Lou Marconi,,,
3333,unknown,236 lbs. (107 kg) at 6'0'' (1.83 m),"Sacramento, California (United States of America)",13th March 1973 (age 48),,Oliver John,,,
3934,Sean Pascoe,320 lbs. (145 kg) at 5'11'' (1.80 m),,,??th February 1997,Sean Davis,,,
5150,Mark Gedge,256 lbs. (116 kg) at 6'2'' (1.88 m),"Leeds, West Yorkshire, England (United Kingdom)",27th May 1972,??th February 2002,Domino,13th June 2016,,
5776,unknown,176 lbs. (80 kg) at 5'8'' (1.73 m),United Kingdom,,,Dan Kerry,,,
6893,Lupe Viscara,230 lbs. (104 kg) at 6'6'' (1.98 m),Nevada (United States of America),1988,2006,Lupe Santiago,,,
8083,Joshua R. Burkman,170 lbs. (77 kg) at 5'10'' (1.78 m),"Salt Lake City, Utah (United States of America)",10th April 1980 (age 41),21st February 2004 (18 years ago),Josh Burkman,,,
8580,Marc Kinder,,"Speyer, Rheinland-Pfalz (Germany)",11th December 1986 (age 35),3rd May 2008 (13 years ago),Marc Out,,,6'5'' (1.96 m)
8900,Wes Hutchins,,Newfoundland and Labrador (Canada),,,Hartford Love,,,
9090,unknown,218 lbs. (99 kg) at 6'0'' (1.83 m),"Royal Leamington Spa, Warwickshire, England (United Kingdom)",,,Chris Charizma,,,
9911,Marco Bisceglia,210 lbs. (95 kg) at 6'0'' (1.83 m),"London, Greater London, England (United Kingdom)",10th May 1982 (age 39),,Marco Marinelli,,,
10624,unknown,205 lbs. (93 kg) at 5'10'' (1.78 m),"Nuneaton, Warwickshire, England (United Kingdom)",23rd August 1986 (age 35),2003,Max Angelus,,,
11013,unknown,248 lbs. (112 kg) at 6'3'' (1.91 m),,,,Gary Steele,,,
11902,Tomasz Witold Drwal,185 lbs. (84 kg) at 6'0'' (1.83 m),"Nowy Sacz, Malopolskie (Poland)",22nd October 1982 (age 39),21st March 2004 (17 years ago),Tomasz Drwal,,,
12054,Charlie Valencia,135 lbs. (61 kg) at 5'3'' (1.60 m),"Los Angeles, California (United States of America)",,11th March 2000 (21 years ago),Charlie Valencia,,,
12498,Yohei Fujita,154 lbs. (70 kg) at 5'7'' (1.70 m),"Yabu, Hyogo (Japan)",8th February 1988 (age 34),22nd December 2008 (13 years ago),YO-HEY,,,
13640,Javier Vázquez,145 lbs. (66 kg) at 5'7'' (1.70 m),Santiago de Cuba (Cuba),27th April 1977 (age 44),28th June 1998 (23 years ago),Javier Vázquez,,,
14643,unknown,182 lbs. (83 kg) at 5'11'' (1.80 m),"Chelmsford, Essex, England (United Kingdom)",,,Gregory Cortez,,,
14972,Will Campuzano,135 lbs. (61 kg) at 5'9'' (1.75 m),"Acapulco de Juárez, Guerrero (Mexico)",27th May 1986 (age 35),18th July 2008 (13 years ago),Will Campuzano,,,
15394,unknown,205 lbs. (93 kg) at 5'10'' (1.78 m),United States of America,13th September ???,10th July 2009 (12 years ago),Bobby Star,,,
15395,unknown,200 lbs. (91 kg) at 6'1'' (1.85 m),United States of America,17th November ???,8th November 2008 (13 years ago),Drake Gallows,,,
16392,unknown,,"Murfreesboro, Tennessee (United States of America)",20th August 1988 (age 33),2003,John Wayne Murdoch,,,5'10'' (1.78 m)
16555,Kyle Noke,170 lbs. (77 kg) at 6'2'' (1.88 m),"Dubbo, New South Wales (Australia)",18th March 1980 (age 41),30th November 2002 (19 years ago),Kyle Noke,,,
16580,unknown,275 lbs. (125 kg) at 5'9'' (1.75 m),"Paris, Île-de-France (France)",5th July 1983 (age 38),2006,Dimitri Soliotopoulos,,,
16588,Michael McLuckie,202 lbs. (92 kg) at 6'2'' (1.88 m),"Livingston, West Lothian, Scotland (United Kingdom)",,23rd February 2008 (14 years ago),Michael Chase,,,
17395,Ricardo Romero,205 lbs. (93 kg) at 6'0'' (1.83 m),"North Brunswick, New Jersey (United States of America)",15th April 1978 (age 43),7th September 2007 (14 years ago),Ricardo Romero,,,
17754,Rafael Natal Diniz Franca,185 lbs. (84 kg) at 6'0'' (1.83 m),"Belo Horizonte, Minas Gerais (Brazil)",25th December 1982 (age 39),7th May 2005 (16 years ago),Rafael Natal,,,
18214,unknown,,United Kingdom,,2009,Nate Colt,,,
18424,unknown,163 lbs. (74 kg) at 5'10'' (1.78 m),"Kennesaw, Georgia (United States of America)",1988,2002,Chip Day,,,
20548,René Gehrke,187 lbs. (85 kg) at 5'7'' (1.70 m),"Schönfließ, Brandenburg (Germany)",7th August 1993 (age 28),7th May 2011 (10 years ago),Rene Richter,,,
21012,Stephon Smith,215 lbs. (98 kg) at 5'7'' (1.70 m),"Baltimore, Maryland (United States of America)",21st August 1989 (age 32),??th June 2008,Rump Thump,,,
21564,Josh Ferguson,135 lbs. (61 kg) at 5'5'' (1.65 m),"Louisville, Kentucky (United States of America)",,27th July 2007 (14 years ago),Josh Ferguson,,,
21844,Chantelle Allison,132 lbs. (60 kg) at 5'3'' (1.60 m),"Sydney, New South Wales (Australia)",5th August 1988 (age 33),??th September 2008,Shazza McKenzie ,,,
26072,unknown,165 lbs. (75 kg) at 5'7'' (1.70 m),"Hiroshima, Hiroshima (Japan)",22nd November 1991 (age 30),6th January 2013 (9 years ago),Hitoshi Kumano,,,
26720,Thomas Stintsman,240 lbs. (109 kg) at 6'5'' (1.96 m),Pennsylvania (United States of America),,,Blaster McMassive,,,
29705,unknown,198 lbs. (90 kg) at 5'11'' (1.80 m),Japan,1st March 1986 (age 36),23rd May 2014 (7 years ago),Kazumi Kikuta,,,
29760,Colby Covington,169 lbs. (77 kg) at 5'11'' (1.80 m),"Clovis, California (United States of America)",22nd February 1988 (age 34),11th February 2012 (10 years ago),Colby Covington,,,
32176,Shota Unno,205 lbs. (93 kg) at 6'0'' (1.83 m),"Tokyo, Tokyo (Japan)",17th April 1997 (age 24),13th April 2017 (4 years ago),Shota Umino,,,
36440,unknown,,Florida (United States of America),4th May 1996 (age 25),,KiLynn King ,,,
371,José Luis Melchor Ortiz,231 lbs. (105 kg) at 5'10'' (1.78 m),"Ciudad de México, Ciudad de México (Mexico)",23rd July 1947 (age 74),1968,El Halcón,,,
608,Valérie Tessier,115 lbs. (52 kg) at 5'5'' (1.65 m),"Montréal, Quebec (Canada)",19th June 1979 (age 42),2000,Elsa Bangz,,,
643,unknown,189 lbs. (86 kg) at 6'0'' (1.83 m),"Shelbyville, Indiana (United States of America)",,,Cory Kastle,,,
810,Miguel Ángel Delgado Reyes,203 lbs. (92 kg) at 5'9'' (1.75 m),"Juárez, Chihuahua (Mexico)",28th August 1947,??th November 1965,El Cobarde,7th February 1983,,
887,unknown,209 lbs. (95 kg) at 6'2'' (1.88 m),"Guadalajara, Jalisco (Mexico)",9th February 1972 (age 50),1990,El Hijo del Solitario,,,
950,Nobukazu Hirai,243 lbs. (110 kg) at 6'1'' (1.85 m),"Tokyo, Tokyo (Japan)",30th December 1969 (age 52),??th July 1990,Nobukazu Hirai,,,
